step,total_energy,qos_violations,completed_tasks,avg_cpu_util
5,3905.320659259436,12,23,51.854914581550524
10,8004.978914347191,31,53,80.6739936207151
15,10466.681784440005,52,91,101.25193556775147
20,14005.017077228304,69,115,140.3731624406333
25,16225.694528425254,88,147,181.9496493541055
30,18884.201661457624,107,179,215.8743918560641
35,22202.01015224236,122,208,247.5551934411263
40,24436.14396842369,141,238,299.17084376003015
45,26976.097749726337,160,272,331.1249259463742
50,28868.35249665623,174,300,370.67766678312086
55,31017.87731040061,193,329,401.7565428697063
60,33396.3341567599,210,358,436.465851060115
65,36263.123950224384,224,388,480.96521543381687
70,38600.26517818667,240,421,509.54208649710876
75,41521.12024604395,261,454,549.0558114772598
80,45108.54516183589,280,483,582.8884152534717
85,48532.21609121575,304,516,601.1826749841476
90,52533.0003909123,328,552,608.1608710766841
95,55312.153241608474,347,580,652.5273112911264
100,59141.04907792801,373,617,691.209108191077
